alan-mclaughlin,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
alan-mclemore,2.6,2.8,3.6,4.2,2.8,2.0,19.0,111.0,0.0,14.0,10.0,0.0
alan-rojer,2.6,1.7,1.0,1.0,1.0,4.0,8.0,38.0,0.0,0.0,0.0,0.0
alan-s-blue,2.6,2.5,1.0,3.7,1.0,3.0,14.0,83.0,0.0,4.0,4.0,0.0
alan-segal,2.2,3.0,1.0,3.9,1.0,2.0,24.0,138.0,0.0,24.0,10.0,0.0
alan-woontner,1.6,1.0,1.0,5.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0
alan-zimmerman,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0
albeeyap,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0
albert-n-milliron,2.0,2.6,1.0,1.4,2.5,2.0,39.0,92.0,1.0,8.0,3.0,0.0
albert-philip,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
albert-reichelt,1.0,1.0,1.0,1.0,1.0,1.0,2.0,12.0,0.0,0.0,0.0,1.0
albertdavid,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
alberttimothy,1.1,1.0,1.0,1.0,1.9,1.0,4.0,11.0,0.0,0.0,0.0,0.0
alden-jones,1.7,2.1,1.0,1.0,1.0,2.0,12.0,57.0,0.0,0.0,0.0,0.0
aldon-hynes,0,0,0,0,0,0,0,0,0,0,0,0
alejandra-reyes,1.8,1.0,1.0,3.1,1.0,2.0,3.0,15.0,0.0,2.0,2.0,0.0
alejandro-gutierrez,1.5,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
alejandro-ramos,1.7,2.2,1.0,1.0,1.0,2.0,10.0,59.0,0.0,0.0,0.0,0.0
aleksandra-stanis\C5%82awska,0,0,0,0,0,0,0,0,0,0,0,0
alen-mirza,1.0,1.0,1.0,1.0,1.0,1.0,3.0,15.0,0.0,0.0,0.0,0.0
alena-schwarz,1.8,2.7,1.0,1.0,1.1,2.0,10.0,100.0,0.0,0.0,0.0,0.0
alene-cisney,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
aleong,1.3,3.0,1.0,1.0,1.0,1.0,18.0,133.0,0.0,0.0,0.0,0.0
alessa-hilton,1.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0
alessandro-cappai,1.7,1.0,4.3,1.0,1.4,2.0,1.0,3.0,0.0,0.0,0.0,0.0
alessandro-piana-bianco,1.5,1.0,3.8,1.0,3.5,1.0,2.0,2.0,0.0,0.0,0.0,0.0
alex-clark,1.1,1.0,1.0,1.0,1.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0
alex-diaz,1.2,1.0,2.2,1.0,2.0,1.0,2.0,6.0,0.0,0.0,0.0,0.0
alex-duncan,1.5,1.0,1.0,1.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0
alex-frias,1.0,1.0,1.0,1.0,1.0,1.0,3.0,8.0,0.0,0.0,0.0,0.0
alex-glaze,2.5,2.8,3.6,4.0,1.8,2.0,12.0,115.0,1.0,2.0,2.0,0.0
alex-goncalves,1.4,2.4,1.0,2.3,1.0,1.0,6.0,72.0,0.0,3.0,2.0,0.0
alex-great,1.8,1.0,1.0,5.0,2.1,1.0,1.0,5.0,0.0,1.0,1.0,0.0
alex-greenberg,1.3,1.0,1.0,3.0,1.0,1.0,1.0,3.0,0.0,1.0,1.0,0.0
alex-gutierrez,1.8,2.8,3.0,4.2,1.0,1.0,6.0,108.0,0.0,4.0,3.0,0.0
alex-helle,1.1,1.0,1.0,1.0,1.6,1.0,2.0,6.0,0.0,0.0,0.0,0.0
alex-konow,2.7,2.5,1.0,4.0,1.0,3.0,8.0,79.0,0.0,1.0,1.0,0.0
alex-kresser,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0
alex-majeska,1.9,1.0,1.0,3.4,1.0,2.0,1.0,4.0,0.0,2.0,2.0,0.0
alex-namzoff,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
alex-nichols,2.1,1.1,1.0,5.0,1.0,2.0,7.0,21.0,0.0,1.0,1.0,0.0
alex-oscar,1.1,1.0,1.0,1.0,1.8,1.0,3.0,5.0,0.0,0.0,0.0,0.0
alex-pelfrey,2.5,3.1,1.0,2.3,1.0,3.0,15.0,150.0,0.0,9.0,1.0,0.0
alex-puhl,1.7,2.4,1.0,1.0,1.0,2.0,7.0,74.0,0.0,0.0,0.0,0.0
alex-sabbag,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
alex-silvestri,1.3,2.0,1.0,1.0,1.8,1.0,5.0,49.0,0.0,0.0,0.0,0.0
alex-stack,1.1,1.0,1.0,1.0,1.6,1.0,1.0,0.0,0.0,0.0,0.0,0.0
alex-sutton,2.2,2.6,1.0,4.0,1.0,2.0,9.0,90.0,0.0,1.0,1.0,0.0
alex-trussell,1.6,1.9,1.0,4.0,1.0,1.0,5.0,43.0,0.0,1.0,1.0,0.0
alex-watts,1.8,2.8,1.0,1.0,1.3,2.0,11.0,107.0,0.0,0.0,0.0,0.0
alex-williams,1.5,1.0,1.0,1.0,1.0,2.0,2.0,9.0,0.0,0.0,0.0,0.0
alex-wright,1.2,1.0,1.0,1.0,2.3,1.0,1.0,5.0,0.0,0.0,0.0,0.0
alexa-harmon,1.2,1.9,1.0,1.0,1.4,1.0,9.0,45.0,0.0,1.0,1.0,0.0
alexa-kern,1.5,1.3,1.0,1.0,1.0,2.0,3.0,24.0,0.0,0.0,0.0,0.0
alexander-bennett,1.8,2.6,1.0,1.0,1.1,2.0,6.0,90.0,0.0,0.0,0.0,0.0
alexander-court,1.6,1.9,3.5,1.0,3.2,1.0,4.0,46.0,0.0,0.0,0.0,0.0
alexander-d-rothenberg,1.0,1.0,1.0,1.0,1.0,1.0,2.0,7.0,0.0,0.0,0.0,0.0
alexander-john,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
alexander-king,1.1,1.0,1.0,2.0,1.0,1.0,1.0,6.0,0.0,3.0,3.0,0.0
alexander-kozliakov,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
alexander-lechler,1.0,1.0,1.0,1.0,1.0,1.0,2.0,6.0,0.0,0.0,0.0,0.0
alexander-roberts,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18.0,0.0,0.0,0.0,0.0
alexander-roe,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0
alexander-rose,3.3,3.0,1.0,4.1,1.0,4.0,43.0,129.0,0.0,16.0,6.0,0.0
alexandra,1.1,1.0,1.0,1.0,1.5,1.0,1.0,3.0,0.0,0.0,0.0,0.0
alexandra-amato,1.7,1.0,1.0,1.0,2.1,2.0,5.0,15.0,0.0,0.0,0.0,0.0
alexandra-figueroa,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.0,0.0,0.0,0.0,0.0
alexandra-gordon,1.5,1.1,1.0,4.0,1.3,1.0,4.0,20.0,0.0,1.0,1.0,0.0
alexandra-hawayek,2.2,1.0,3.8,1.0,1.2,3.0,4.0,16.0,0.0,0.0,0.0,0.0
alexandra-hughes,1.3,1.4,3.3,1.0,1.9,1.0,7.0,27.0,0.0,0.0,0.0,0.0
alexandra-johnston,1.7,2.3,1.0,4.4,1.3,1.0,8.0,66.0,0.0,2.0,2.0,0.0
